Mmar,Aana,Plit,Udel,Aarc,Agal,Aolig,Aang,Ccal,Cpal,Lboc,Pdur,Salb,Scar,Stru,HYRIV_ID,ORD_STRA,S_CaCO3_av,ele_mt_cav,ele_mt_uav,ele_mt_cmn,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_uyr,tmp_dc_cmn,tmp_dc_cmx,pre_mm_cyr,pre_mm_uyr,crp_pc_use,pst_pc_use,hft_ix_u09,continenta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20547314,2,0,1173,1525,1145,1196,69,162,99,89,70,19,166,823,958,8,17,101,14.70104421
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,20586908,4,0,618,751,337,730,84,21,468,127,121,46,216,644,620,10,14,67,17.07984079
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20550999,1,0,1271,1271,994,1833,147,147,109,84,84,13,161,833,833,11,35,80,14.75802904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20578979,5,0,731,1039,688,855,19,39,10,123,105,38,215,418,525,49,15,100,17.77075766
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580148,6,0,699,994,674,833,13,38,3,124,106,40,217,395,533,47,19,118,17.62111556
1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,20595412,1,0,704,704,582,840,77,77,0,126,126,58,204,1293,1293,5,1,75,14.65625009
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20596007,2,0,699,767,614,850,66,67,20,126,121,53,209,1146,1166,26,10,83,15.71508801
1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,20575085,3,0,467,954,342,679,161,109,62,131,104,54,215,804,916,15,10,79,16.13067317
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,20577304,4,0,516,650,314,751,112,76,43,131,122,59,211,1088,1056,14,7,107,15.18151135
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20577303,3,0,628,693,333,903,129,86,240,125,120,55,204,1149,1148,7,6,100,15.07910869
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20568822,4,1,742,897,713,780,16,28,13,119,109,35,208,439,559,64,10,111,17.26945609
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20581553,6,0,711,946,610,774,49,33,15,121,109,37,213,404,505,54,17,120,17.56513264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20607866,1,0,976,976,836,1248,56,56,113,116,116,40,208,949,949,1,2,89,16.92111562
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,20607033,1,0,903,903,772,1167,63,63,93,120,120,41,214,780,780,1,7,31,17.3324856
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,20580149,4,1,857,1030,760,930,47,39,23,116,108,30,210,453,493,46,18,102,17.91038458
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,20562980,4,3,802,896,774,920,22,32,15,112,104,31,194,559,640,49,29,112,16.22697119
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20591104,3,1,884,1144,841,923,16,41,15,117,104,33,213,402,433,34,25,105,18.08113899
0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,20574095,4,0,409,691,355,632,38,78,15,135,119,60,216,919,1067,8,4,82,15.60185864
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20575900,3,0,1016,1120,947,1148,52,57,47,105,98,24,199,525,567,4,3,89,17.55045954
